,Number_of_var,F1_score
0.002,3,0.8169444444444445
0.003,5,0.8165277777777776
0.004,11,0.8188888888888888
0.005,13,0.8198611111111112
0.006,14,0.8169444444444445
0.007,14,0.8169444444444445
0.008,15,0.8163888888888889
0.009000000000000001,15,0.8163888888888889
0.01,15,0.8163888888888889
0.011000000000000001,15,0.8163888888888889
0.012,16,0.8181944444444444
0.013,16,0.8181944444444444
0.014,17,0.8225
0.015000000000000001,17,0.8225
0.016,17,0.8225
0.017,17,0.8225
0.018000000000000002,17,0.8225
0.019000000000000003,17,0.8225
0.020000000000000004,18,0.8227777777777779
0.020999999999999998,18,0.8227777777777779
0.022,19,0.8233333333333334
0.023,19,0.8233333333333334
0.024,19,0.8233333333333334
0.025,20,0.8234722222222223
0.026000000000000002,21,0.82375
0.027000000000000003,22,0.8236111111111111
0.028000000000000004,22,0.8236111111111111
0.028999999999999998,22,0.8236111111111111
0.03,22,0.8236111111111111
0.031,22,0.8236111111111111
0.032,22,0.8236111111111111
0.033,23,0.8233333333333334
0.034,23,0.8233333333333334
0.035,23,0.8233333333333334
0.036000000000000004,23,0.8233333333333334
0.037000000000000005,23,0.8233333333333334
0.038000000000000006,23,0.8233333333333334
0.039,23,0.8233333333333334
0.04,24,0.8236111111111111
0.041,24,0.8236111111111111
0.042,24,0.8236111111111111
0.043000000000000003,24,0.8236111111111111
0.044000000000000004,24,0.8236111111111111
0.045000000000000005,24,0.8236111111111111
0.046,25,0.8243055555555555
0.047,25,0.8243055555555555
0.048,25,0.8243055555555555
0.049,25,0.8243055555555555
0.05,25,0.8243055555555555
0.051000000000000004,25,0.8243055555555555
0.052000000000000005,26,0.8241666666666667
0.053000000000000005,26,0.8241666666666667
0.054000000000000006,26,0.8241666666666667
0.055,26,0.8241666666666667
0.056,27,0.8244444444444443
0.057,27,0.8244444444444443
0.058,27,0.8244444444444443
0.059000000000000004,27,0.8244444444444443
0.060000000000000005,27,0.8244444444444443
0.061000000000000006,27,0.8244444444444443
0.062,27,0.8244444444444443
0.063,27,0.8244444444444443
0.064,27,0.8244444444444443
0.065,29,0.8240277777777778
0.066,29,0.8240277777777778
0.067,30,0.8241666666666667
0.068,30,0.8241666666666667
0.069,30,0.8241666666666667
0.07,30,0.8241666666666667
0.07100000000000001,31,0.8244444444444443
0.07200000000000001,31,0.8244444444444443
0.07300000000000001,32,0.824861111111111
0.07400000000000001,32,0.824861111111111
0.075,32,0.824861111111111
0.076,32,0.824861111111111
0.077,32,0.824861111111111
0.078,32,0.824861111111111
0.079,32,0.824861111111111
0.08,32,0.824861111111111
0.081,32,0.824861111111111
0.082,32,0.824861111111111
0.083,32,0.824861111111111
0.084,33,0.8247222222222224
0.085,33,0.8247222222222224
